kata,entropi
asrar,10.224940211115829
abrar,9.860705587927022
antan,9.778568106270274
arbab,9.498294830787284
asana,9.37065569131882
aurum,9.3310510949372
arsir,9.304747124772375
aural,9.235128205150682
asasi,9.215291016628553
akrab,9.214895294860302
aurat,9.2024849972465
andan,9.202181320495951
karar,9.17878600317061
arsis,9.170613407477157
autad,9.165824693580813
alkil,9.156652903820023
asese,9.154151351799163
anang,9.098330719889555
angan,9.084424188084194
aksis,9.068781414082935
abaka,9.068035832648139
aulia,9.05616843555823
adnan,9.039631359355036
antah,9.032820407911407
antun,8.987627648692522
arnal,8.945425395179566
atlet,8.937591585842853
antap,8.896732698881088
akses,8.875902292036166
askar,8.857518050325245
atlas,8.852221444795623
arasy,8.82267420734403
asnad,8.812132123933779
akmal,8.78557916200722
taala,8.77772686047009
abras,8.771269132780782
altar,8.759279762753083
antar,8.742275246251763
ansar,8.739572809301539
asiri,8.732907502585377
abrak,8.725253187660526
absis,8.709266870755716
arang,8.708698849778397
amsal,8.699902265113163
absah,8.698163079465367
ahkam,8.668856952772447
alibi,8.656425623265783
asbes,8.634306463014282
akang,8.631713663000932
akbar,8.626585760273528
albas,8.624761448550949
aspal,8.615780284442273
kanan,8.609401257296257
atman,8.599732641369243
alarm,8.591928924703565
ambah,8.584653270541873
agama,8.560676516588606
asbak,8.560065522798247
aruan,8.546430863777516
angin,8.545338710215562
alang,8.514947218253091
abses,8.499995924282958
alias,8.498745757975826
andal,8.471259088286939
abtar,8.466117865290661
ambal,8.465497310199924
areal,8.465255427468515
andam,8.460841197785289
ampat,8.45577639094812
anual,8.430914045294168
ambak,8.429384825133218
alami,8.425609787988861
ampas,8.416246202388402
kakak,8.403623964385513
aruda,8.39662373589718
akene,8.380977113095973
ambar,8.378916073211093
asali,8.37739860401018
areta,8.36025353167159
amang,8.357341614873445
atase,8.354323337855213
acara,8.353129614882315
anion,8.342651765613688
katak,8.318373982736261
ahmak,8.304193967649411
katah,8.298996770565447
arena,8.298829431347306
ampai,8.280459066223694
kalah,8.270480221267501
kasah,8.269004245374568
aktif,8.26852345447044
adisi,8.266878229308556
takak,8.263929594327
acala,8.257934180405034
arcas,8.257536652249165
angga,8.250735262911288
andai,8.247943052182075
kapak,8.226585673737816
apati,8.224960340305762
arwah,8.223979358661472
amina,8.22046659821838
kapah,8.216449064204372
abang,8.196080638259996
karam,8.183430916872704
aorta,8.182432186382295
antih,8.181115435300004
kabak,8.180900102377064
arsip,8.174363353788443
abian,8.173135872770331
kasad,8.1623320858518
kutut,8.149350165822462
kalam,8.142720383540869
kasam,8.141264532898578
abdas,8.138466385551075
angsa,8.122899480085863
apnea,8.120399082788245
anjak,8.098860058783927
aneka,8.097905092763572
anjal,8.095742394916094
abadi,8.092279944977674
angka,8.092195180728183
ancam,8.078459532618956
abuan,8.072153252359051
karap,8.06824728355539
kasab,8.065676207010009
kapan,8.059059127904568
akwal,8.055486177911595
kappa,8.055150256539543
artis,8.054057264244149
kacak,8.045943291791183
adati,8.04387069268167
adaks,8.043607167833205
amuba,8.033181785603967
kalap,8.030590774606008
kakah,8.028675799929351
aerob,8.011835079624978
auksi,8.008135010121062
alwah,7.997375804655277
adang,7.989790893953287
retet,7.986912201323692
audio,7.964846229847934
aksep,7.964820711463392
antep,7.957168441220832
amril,7.956887792707078
kadam,7.94893141911168
kahaf,7.941214236338319
antem,7.93473375802393
kacam,7.92722902106102
karas,7.92694189682714
antul,7.923353449640636
kekek,7.915630341955623
aswad,7.906573985159601
album,7.894803728717595
kalas,7.888014956180901
ketek,7.885465869992478
ameba,7.885429039413513
reses,7.884751062445502
aroma,7.882793286383557
kahak,7.878670457105081
kerek,7.873580859495583
tekek,7.869385460075244
audit,7.868770895733648
adika,7.865581304751016
agami,7.85959024051867
karat,7.852776451003971
kapas,7.852437412885442
asket,7.852433983373319
kagak,7.8511457657950325
kelek,7.851004244899492
aprit,7.848185492624636
april,7.846400939518257
arpus,7.84401022624339
anduh,7.843865942983961
kapal,7.842008348762022
ampuh,7.830129945961896
antik,7.822689969376378
antuk,7.821886039783042
kakap,7.821213271282537
kalat,7.8156123668465804
kesek,7.808633799508913
katar,7.808491602525661
lakak,7.803755649219547
anyam,7.797980242230574
antop,7.785063286857867
kapat,7.7834391603421915
ajaib,7.781748017870654
kasar,7.778166497103089
kepek,7.775653726305886
albit,7.774816068837137
abjad,7.7703025219524875
kamas,7.76192281971456
aksen,7.761567791592476
ratah,7.761401792612312
anyar,7.759995949531887
kalar,7.75917183154549
kayak,7.755923253117289
kamal,7.752109191962722
antek,7.749084940197766
asbut,7.743610133104922
kapar,7.74176376870747
arung,7.7370165801769035
kahan,7.733750988195916
kabat,7.732533952054773
kawak,7.7279580019496645
rakah,7.723956312054155
abece,7.721120528136651
asing,7.7195791429976754
kawah,7.719366796241756
arzak,7.718647064451843
aplus,7.716085565701508
kadas,7.711634807252845
kadal,7.709559001941082
kanal,7.70767046917324
keren,7.703831965597481
kakas,7.700372410806849
kamat,7.69836545897712
kabar,7.693355313509269
tamam,7.693216524396625
aling,7.68729544543382
kafah,7.686612942784525
animo,7.6856744321723465
askon,7.684040879719619
aster,7.680663718077234
asfal,7.671878698720262
radar,7.663771515867144
abrek,7.66343170327793
apkir,7.66182089560406
ratap,7.6577314811434025
andil,7.657093160503789
kamar,7.655980634649156
ambil,7.649211709179366
rasam,7.646830097500386
rapah,7.636736071243572
rukuk,7.631182035641459
amput,7.624492496963246
ramah,7.623732953029113
kenek,7.61909946427548
asfar,7.617650997017325
rakap,7.616872997232409
asung,7.615919172723968
ranah,7.6133006285419365
akson,7.611800168097822
ampul,7.611665960391701
kelep,7.6106286161043615
aktor,7.610132642836533
kadar,7.60808594631843
ambin,7.607282165893468
kedek,7.606697989346175
kayan,7.605404993866127
atung,7.604270633792295
abnus,7.603240257548818
amino,7.6009173889034045
aries,7.600458407880571
alung,7.598190663575795
antre,7.593231493094419
kecek,7.59059179780842
kawan,7.5881660029572116
ampun,7.586675608436291
antri,7.584627384481032
sikik,7.581794005724159
kakao,7.576980215557296
kekeh,7.570610011797132
adres,7.567926143839954
angit,7.566539308565061
kafan,7.560116026335756
apium,7.559619065609434
agung,7.557933017685106
ialah,7.553480500987435
ajang,7.549471612350862
aspek,7.548803138088131
taraf,7.548682714113598
radah,7.545932987720731
raban,7.545139133739818
ketes,7.538106394249206
apron,7.532604591360262
akhir,7.531425479526589
acang,7.5286536775992365
ahwal,7.527439646871298
ambur,7.526077127037529
ampuk,7.525812249391283
ambet,7.521181714746674
rapal,7.519602351998331
ketel,7.519076167322403
kirik,7.514196449938863
ramal,7.5121913170795604
takat,7.511687796311068
ragam,7.508552226897769
kitik,7.506911801573479
ranap,7.505421249840061
absen,7.502006357677112
kenem,7.500850128221031
