kata,information_gain
quran,0.99987972095261
xenia,0.99987972095261
xenon,0.99987972095261
xerik,0.9996391628578302
xilan,0.9995188838104402
xilem,0.9992783257156603
qurah,0.9991580466682703
xilol,0.9989174885734905
qalbu,0.9984363723839307
qasar,0.9984363723839307
qanun,0.9981958142891508
qolbu,0.9979552561943709
qudsi,0.9972335819100312
zodia,0.9888140485927351
viola,0.9877315371662256
zebra,0.9877315371662256
velar,0.987009862881886
viral,0.987009862881886
virga,0.987009862881886
valis,0.9862881885975463
verba,0.9860476305027663
vista,0.9859273514553765
vespa,0.9856867933605965
valin,0.9855665143132066
versi,0.9855665143132066
zumba,0.9854462352658167
venda,0.9850853981236468
valid,0.9840028866971373
venal,0.9840028866971373
video,0.9837623286023575
verso,0.9832812124127976
vital,0.9832812124127976
vodka,0.982679817175848
volan,0.982679817175848
vegan,0.982559538128458
zirah,0.982439259081068
vokal,0.9823189800336781
vonis,0.9823189800336781
vados,0.9817175847967283
zinah,0.9817175847967283
zalir,0.9812364686071686
viper,0.9806350733702188
virus,0.9806350733702188
zinak,0.980394515275439
vigor,0.980274236228049
vulva,0.9795525619437093
zahir,0.9795525619437093
vifer,0.9794322828963195
virgo,0.9791917248015395
zalim,0.9790714457541496
zamin,0.9790714457541496
zonal,0.9789511667067596
zohal,0.9788308876593697
vadem,0.97822949242242
varia,0.9779889343276401
venus,0.9772672600433004
vigia,0.9771469809959105
zombi,0.9761847486167909
visnu,0.975944190522011
zahid,0.9746211210007216
zapin,0.9745008419533316
zabur,0.9743805629059418
zolim,0.9736588886216021
velum,0.9732980514794323
zenit,0.9728169352898725
zefir,0.9718547029107529
visum,0.971614144815973
zabib,0.971614144815973
vasal,0.9712533076738032
ziter,0.9708924705316334
zakum,0.9706519124368534
valas,0.9705316333894636
vakum,0.9704113543420736
vinil,0.9701707962472937
vidio,0.9693288429155641
veter,0.9690882848207841
visus,0.9688477267260043
zipur,0.9688477267260043
votum,0.9663218667308154
zaman,0.9652393553043059
zatua,0.9652393553043059
veste,0.9651190762569161
zabah,0.9642771229251864
zakar,0.9640365648304066
zubur,0.9637960067356266
zarah,0.9636757276882366
zelot,0.962954053403897
zigot,0.9627134953091171
zuhur,0.9612701467404378
zohor,0.9611498676930478
fusia,0.9601876353139283
zakat,0.9601876353139283
zuama,0.9601876353139283
zadat,0.9597065191243684
zadah,0.9592254029348087
zabad,0.9589848448400288
zikir,0.9580226124609093
zawal,0.9573009381765696
yunta,0.9560981477026701
fobia,0.9548953572287707
fusta,0.9540534038970411
zuhud,0.9532114505653115
flora,0.9530911715179216
yunda,0.9526100553283617
yogia,0.9515275439018522
fonta,0.9511667067596824
firma,0.9505653115227327
forma,0.9494828000962232
fovea,0.9469569401010344
yudha,0.9467163820062544
yetfa,0.9450324753427952
fatri,0.9441905220110657
fmipa,0.943348568679336
fatir,0.9426268943949964
fakir,0.9422660572528265
folat,0.941183545826317
feral,0.9392590810680779
final,0.939018522973298
wreda,0.9387779648785181
werda,0.9384171277363482
wodka,0.9376954534520087
fulan,0.9375751744046187
faksi,0.9370940582150589
futoi,0.9366129420254992
farik,0.9358912677411595
forki,0.9338465239355304
faqir,0.932523454414241
farji,0.9318017801299013
wisma,0.9318017801299013
fatur,0.9312003848929515
fasik,0.9309598267981717
fetis,0.9304787106086119
yudas,0.930238152513832
frase,0.9291556410873225
yokal,0.9290353620399326
fitur,0.9284339668029828
floit,0.9283136877555929
fonis,0.9279528506134231
flaks,0.9273514553764735
fenit,0.9267500601395237
fidah,0.9261486649025739
fosil,0.9257878277604041
faset,0.9254269906182343
fasih,0.9248255953812845
fadil,0.9247053163338946
fotur,0.923743083954775
werak,0.9231416887178253
fakih,0.9230214096704353
fluor,0.9222997353860957
fasid,0.9221794563387058
fault,0.9220591772913158
fetor,0.9220591772913158
fonik,0.921578061101756
fungi,0.921578061101756
wedar,0.919653596343517
fikus,0.9190522011065672
welas,0.9185710849170075
fetus,0.9179696896800577
yakin,0.9178494106326678
filet,0.917248015395718
yakon,0.9171277363483281
yaitu,0.9170074573009381
figur,0.9166466201587683
wisal,0.9164060620639884
fitol,0.9160452249218186
fider,0.9159249458744286
fokus,0.9155641087322588
fasia,0.9153235506374788
wetan,0.9146018763531393
fiton,0.9143613182583593
fluks,0.9141207601635795
fagot,0.9140004811161896
fiber,0.9140004811161895
yakut,0.9133990858792398
fardu,0.9132788068318498
front,0.91291796968968
feron,0.9126774115949001
fasis,0.9125571325475101
fasum,0.9125571325475101
yakni,0.9124368535001203
wulan,0.9123165744527303
forte,0.9120760163579504
famai,0.9117151792157806
fatom,0.9109935049314408
yakub,0.9094298773153716
foyer,0.9085879239836421
yurin,0.9082270868414721
fabel,0.9067837382727928
fenol,0.9067837382727928
freon,0.9066634592254029
forum,0.9064229011306231
felon,0.9059417849410633
futur,0.9055809477988934
filum,0.9053403897041135
folio,0.9049795525619436
ferum,0.9048592735145538
yakis,0.904257878277604
wedam,0.9030550878037046
yasti,0.9028145297089247
fpips,0.9019725763771951
filem,0.9016117392350252
wiaoe,0.9012509020928554
fasos,0.9007697859032957
fadem,0.9006495068559056
yahud,0.9004089487611258
fondu,0.9001683906663459
fitri,0.8990858792398364
fyord,0.8987250420976666
fakta,0.8981236468607168
fikir,0.8976425306711571
fjord,0.8976425306711571
finir,0.8970411354342073
fonem,0.8969208563868174
fauna,0.8965600192446476
fulus,0.8961991821024777
floem,0.8958383449603079
yatim,0.8942747173442386
warik,0.8941544382968486
yolks,0.8940341592494587
farak,0.8937936011546789
furuk,0.8937936011546789
yuris,0.8933124849651191
wasir,0.8930719268703392
fiche,0.8928313687755592
faali,0.8924705316333894
frasa,0.8919894154438296
juita,0.8918691363964397
fusuk,0.8911474621121
fujur,0.8907866249699302
wadir,0.8904257878277603
junta,0.8897041135434207
fajar,0.8897041135434206
fatal,0.8894635554486409
finis,0.8894635554486409
water,0.8894635554486409
fiksi,0.8892229973538609
waris,0.8891027183064709
wasit,0.888982439259081
foton,0.8888621602116912
wardi,0.8882607649747414
wakil,0.8881404859273514
jerba,0.8880202068799615
wares,0.8878999278325715
walet,0.8872985325956217
falak,0.886937695453452
yacht,0.8866971373586721
yahwe,0.8866971373586721
yasan,0.8854943468847727
fatwa,0.8854943468847726
wader,0.8852537887899927
yamna,0.8851335097426029
fikli,0.884532114505653
jerau,0.8844118354582631
fobos,0.8841712773634832
walhi,0.8841712773634832
fisik,0.8835698821265334
fisin,0.8832090449843637
ylbhi,0.8832090449843637
warid,0.8828482078421939
jelau,0.8826076497474139
yakik,0.8823670916526342
jelma,0.882367091652634
wakde,0.882367091652634
wazir,0.882367091652634
wajik,0.8822468126052441
waktu,0.8821265335578542
jurai,0.8820062545104642
wastu,0.8817656964156844
yaksa,0.8817656964156844
josna,0.8815251383209045
warok,0.8810440221313447
wafer,0.8809237430839548
wajit,0.8809237430839547
werit,0.8809237430839547
waduk,0.880442626894395
yonko,0.8804426268943949
yonif,0.880202068799615
fatah,0.8799615107048352
jemba,0.8797209526100552
welit,0.8793601154678854
yesus,0.8792398364204955
jumpa,0.8791195573731055
farad,0.8789992783257156
wiket,0.8787587202309358
waleh,0.8786384411835458
julai,0.878277604041376
wakun,0.878277604041376
wamil,0.878277604041376
wuker,0.8777964878518162
jelai,0.8775559297570363
waria,0.8770748135674764
yunus,0.8767139764253067
fasad,0.8765936973779167
wangi,0.8765936973779167
watun,0.8763531392831369
falah,0.875992302140967
wahid,0.8757517440461872
wrang,0.875751744046187
wafel,0.8753909069040172
wonti,0.8745489535722877
werst,0.8743083954775078
witel,0.8734664421457782
